participant_id,number_epochs,missing_epochs
sub-AN01LE,61,14
sub-AN03NU,75,0
sub-AN20SC,32,43
sub-AN24KI,74,1
sub-BA07AN,44,31
sub-BA11SC,21,54
sub-BE27KA,40,35
sub-BI19KI,30,45
sub-BI20LE,59,16
sub-CA26NM,21,54
sub-CH03KA,63,12
sub-CH06BA,38,37
sub-CH08GE,45,30
sub-CH23WU,58,17
sub-CS27ES,58,17
sub-DI25KL,51,24
sub-DO09RE,61,14
sub-DO25BA,62,13
sub-DO29CU,70,5
sub-EL06HE,45,30
sub-EL16KI,7,68
sub-EL17OS,39,36
sub-EL21NE,64,11
sub-EL27KA,58,17
sub-EM05EL,75,0
sub-FR16GE,67,8
sub-GA07NE,46,29
sub-GA12KO,57,18
sub-GE05TI,69,6
sub-GE23IZ,38,37
sub-GI30KI,70,5
sub-HA04HA,26,49
sub-HE01HA,63,12
sub-HE22FO,38,37
sub-HE25KI,21,54
sub-HE28OS,63,12
sub-HI06DU,45,30
sub-HI26ME,40,35
sub-IL11GR,60,15
sub-IM31KI,4,71
sub-IN18DR,73,2
sub-IN23HE,33,42
sub-IR16MO,57,18
sub-IS17KI,53,22
sub-JA04NE,47,28
sub-KA01EC,24,51
sub-KA05KI,25,50
sub-KA08LU,15,60
sub-KA27KI,39,36
sub-KA30FL,67,8
sub-KO04PA,69,6
sub-KR04BE,67,8
sub-LO12EC,58,17
sub-LU22FR,73,2
sub-MA11FL,42,33
sub-MA26WO,17,58
sub-MA30HA,73,2
sub-MO09MU,26,49
sub-MO09NE,57,18
sub-MO18NE,61,14
sub-RE17PR,45,30
sub-RE22KI,66,9
sub-RE28PU,53,22
sub-SE04SJ,65,10
sub-SI05PR,68,7
sub-SI23BA,57,18
sub-SU17HU,65,10
sub-SY22KI,50,25
sub-UR16RE,73,2
sub-UR24BI,37,38
sub-UT16FL,28,47
sub-VE18OL,57,18
sub-WI17PE,8,67
sub-YV23KA,57,18
