participant_id,number_epochs,missing_epochs
sub-AN01LE,47,13
sub-AN03NU,60,0
sub-AN20SC,23,37
sub-AN24KI,59,1
sub-BA07AN,32,28
sub-BA11SC,15,45
sub-BE27KA,28,32
sub-BI19KI,21,39
sub-BI20LE,44,16
sub-CA26NM,16,44
sub-CH03KA,49,11
sub-CH06BA,24,36
sub-CH08GE,35,25
sub-CH23WU,44,16
sub-CS27ES,44,16
sub-DI25KL,39,21
sub-DO09RE,47,13
sub-DO25BA,48,12
sub-DO29CU,56,4
sub-EL06HE,34,26
sub-EL16KI,3,57
sub-EL17OS,27,33
sub-EL21NE,49,11
sub-EL27KA,46,14
sub-EM05EL,60,0
sub-FR16GE,53,7
sub-GA07NE,34,26
sub-GA12KO,43,17
sub-GE05TI,53,7
sub-GE23IZ,28,32
sub-GI30KI,56,4
sub-HA04HA,19,41
sub-HE01HA,47,13
sub-HE22FO,25,35
sub-HE25KI,13,47
sub-HE28OS,49,11
sub-HI06DU,33,27
sub-HI26ME,28,32
sub-IL11GR,46,14
sub-IM31KI,3,57
sub-IN18DR,58,2
sub-IN23HE,25,35
sub-IR16MO,44,16
sub-IS17KI,41,19
sub-JA04NE,35,25
sub-KA01EC,21,39
sub-KA05KI,18,42
sub-KA08LU,9,51
sub-KA27KI,26,34
sub-KA30FL,52,8
sub-KO04PA,54,6
sub-KR04BE,53,7
sub-LO12EC,45,15
sub-LU22FR,57,3
sub-MA11FL,32,28
sub-MA26WO,11,49
sub-MA30HA,58,2
sub-MO09MU,17,43
sub-MO09NE,43,17
sub-MO18NE,46,14
sub-RE17PR,33,27
sub-RE22KI,51,9
sub-RE28PU,41,19
sub-SE04SJ,50,10
sub-SI05PR,54,6
sub-SI23BA,43,17
sub-SU17HU,52,8
sub-SY22KI,39,21
sub-UR16RE,58,2
sub-UR24BI,27,33
sub-UT16FL,22,38
sub-VE18OL,43,17
sub-WI17PE,4,56
sub-YV23KA,42,18
